rank,player_name,opp,best,worst,avg,std dev,proj. pts,pos,pos_rank,tm,start_sit_grade,pos_map,tiers
130,AJ Dillon,at HOU,67.0,221.0,127.0,55.52,5.1,FLEX,43,GB,,RB,14
131,Leonard Fournette,at LV,87.0,153.0,130.74,12.02,5.8,FLEX,44,TB,,RB,13
132,Kendrick Bourne,at NE,112.0,146.0,125.4,10.63,7.1,FLEX,70,SF,,WR,13
133,Greg Olsen,at ARI,83.0,172.0,139.38,13.94,6.9,FLEX,19,SEA,,TE,15
134,Richard Rodgers,vs. NYG,121.0,182.0,139.81,11.55,7.1,FLEX,20,PHI,,TE,15
135,Nelson Agholor,vs. TB,108.0,159.0,136.19,9.68,7.3,FLEX,71,LV,,WR,13
136,Duke Johnson Jr.,vs. GB,121.0,158.0,142.38,8.52,6.1,FLEX,45,HOU,,RB,15
137,Tony Pollard,at WAS,124.0,171.0,142.78,7.7,5.5,FLEX,46,DAL,,RB,15
138,Andy Isabella,vs. SEA,104.0,158.0,133.93,10.12,6.9,FLEX,72,ARI,,WR,13
139,Scotty Miller,at LV,112.0,175.0,139.9,15.16,6.9,FLEX,73,TB,,WR,15
140,Curtis Samuel,at NO,105.0,159.0,134.4,16.06,7.1,FLEX,74,CAR,,WR,13
141,Corey Clement,vs. NYG,107.0,168.0,145.59,11.46,5.1,FLEX,47,PHI,,RB,15
142,Sterling Shepard,at PHI,82.0,214.0,135.69,28.78,7.0,FLEX,75,NYG,,WR,14
143,Cam Akers,vs. CHI,119.0,202.0,152.69,13.96,4.8,FLEX,48,LAR,,RB,15
144,D'Ernest Johnson,at CIN,92.0,156.0,142.47,13.53,5.7,FLEX,49,CLE,,RB,15
145,David Njoku,at CIN,90.0,192.0,154.88,24.34,5.3,FLEX,21,CLE,,TE,15
146,Gerald Everett,vs. CHI,131.0,183.0,155.56,15.06,5.5,FLEX,22,LAR,,TE,15
147,Cordarrelle Patterson,at LAR,127.0,155.0,141.72,7.09,6.2,FLEX,76,CHI,,WR,15
148,Jeff Smith,vs. BUF,113.0,174.0,142.45,14.45,6.9,FLEX,77,NYJ,,WR,15
149,David Moore,at ARI,74.0,164.0,149.1,8.61,6.3,FLEX,78,SEA,,WR,15
150,Benny Snell Jr.,at TEN,132.0,164.0,150.73,7.69,4.8,FLEX,50,PIT,,RB,15
