rank,pos_tiers,player_name,tm,pos_rank,pos,bye,best,worst,avg,std dev,adp,adp_vor_delta,py_avg_ppg,py_std_dev,custom_points,vor
198,,Gus Edwards,BAL,RB58,RB,13,133,312,211.67,40.02,176.0,14.0,6.477777777777778,5.630891975916822,86.61,0.5940629841849698
199,,Joshua Palmer,LAC,WR84,WR,5,123,301,197.98,30.98,,,10.39375,7.412374226026818,95.75000000000001,0.5232292794778219
200,1.0,Evan McPherson,CIN,K4,K,7,176,239,194.70,11.97,,,,,,
201,,Tyjae Spears,TEN,RB59,RB,7,121,360,212.70,53.79,,,,,79.32000000000001,0.5807118411879405
202,,Clyde Edwards-Helaire,KC,RB60,RB,10,118,315,212.75,40.94,170.0,-12.0,9.830000000000002,8.536724586553479,74.04,0.571041877535771
203,4.0,Baltimore Ravens,BAL,DST7,DST,13,171,230,195.61,11.00,,,,,,
204,,Wan'Dale Robinson,NYG,WR85,WR,13,123,330,199.10,40.55,199.0,-51.0,,,88.11999999999999,0.5092554494274332
205,,Mecole Hardman Jr.,NYJ,WR86,WR,7,134,285,205.33,25.43,210.0,16.0,11.600000000000001,9.010945724902733,120.88,0.5692531784511209
206,,Hunter Henry,NE,TE22,TE,11,137,344,213.62,44.50,,,6.111764705882354,5.057405752080455,107.02000000000001,0.5652362364794495
207,2.0,Daniel Carlson,LV,K5,K,13,173,284,197.93,22.79,,,,,,
208,,Allen Robinson II,PIT,WR87,WR,6,120,290,205.10,30.30,,,8.49,5.6254283787498744,101.15000000000002,0.5331190150311772
209,,Dawson Knox,BUF,TE23,TE,13,132,318,221.23,44.44,160.0,-40.0,9.046666666666669,5.556060611963257,99.07000000000001,0.5506763480258989
210,2.0,Denver Broncos,DEN,DST8,DST,9,164,330,202.95,23.00,,,,,,
211,,Cordarrelle Patterson,ATL,RB61,RB,11,132,319,218.14,43.45,141.0,-16.0,,,82.99000000000001,0.5874331984992022
212,,C.J. Stroud,HOU,QB28,QB,7,148,333,220.40,38.07,,,,,258.746,0.4738758362015601
213,5.0,Kansas City Chiefs,KC,DST9,DST,10,187,278,209.97,15.47,,,,,,
214,,Mike Gesicki,NE,TE24,TE,11,138,333,225.44,47.69,,,5.776470588235293,6.603363670486875,92.32000000000001,0.538314178584205
215,,Josh Downs,IND,WR88,WR,11,120,301,215.15,25.98,,,,,68.64,0.4735791441349595
216,,Jimmy Garoppolo,LV,QB29,QB,13,148,338,224.09,41.64,,,17.98,7.827663763857005,273.34600000000006,0.5006147508458166
217,2.0,New Orleans Saints,NO,DST10,DST,11,170,318,211.78,17.38,,,,,,
218,2.0,Pittsburgh Steelers,PIT,DST11,DST,6,180,303,212.09,16.82,,,,,,
219,,Trey McBride,ARI,TE25,TE,14,139,391,225.84,42.00,,,3.7812500000000004,5.539460713824045,85.37,0.525585722640535
220,,Mac Jones,NE,QB30,QB,11,169,330,229.29,36.81,,,14.434285714285712,7.300551838241897,257.786,0.4721176609920748
221,3.0,Younghoe Koo,ATL,K6,K,11,184,281,218.17,14.60,,,,,,
222,2.0,Miami Dolphins,MIA,DST12,DST,10,165,303,222.98,27.62,,,,,,
223,,Jake Ferguson,DAL,TE26,TE,7,137,352,211.98,55.88,186.0,-22.0,3.025,3.8697975829923363,95.10000000000001,0.543405560961673
224,4.0,Jason Sanders,MIA,K7,K,10,204,324,223.01,14.14,,,,,,
225,,Cincinnati Bengals,CIN,DST13,DST,7,196,307,224.37,22.72,,,,,,
226,,Joshua Kelley,LAC,RB62,RB,5,141,362,233.73,39.34,,,4.984615384615386,4.15027030321443,77.91,0.5781295213490089
227,,Tyquan Thornton,NE,WR89,WR,11,154,330,221.01,30.20,,,5.1,6.167387345275685,87.06,0.5073141309669598
228,,Noah Fant,SEA,TE27,TE,5,147,310,237.28,37.07,,,7.211764705882354,4.250717932441115,106.53,0.564338834549608
229,3.0,Brandon McManus,JAX,K8,K,9,204,253,228.43,8.64,,,,,,
230,3.0,Jake Elliott,PHI,K9,K,10,191,281,229.50,15.07,,,,,,
231,,Terrace Marshall Jr.,CAR,WR90,WR,7,156,361,230.01,30.68,,,5.785714285714285,4.525799061255056,74.26,0.48387179484048837
232,3.0,Jason Myers,SEA,K10,K,5,191,309,230.40,19.60,,,,,,
233,,Washington Commanders,WAS,DST14,DST,14,187,305,232.90,25.32,,,,,,
234,,Tank Dell,HOU,WR91,WR,7,70,340,204.91,51.04,,,,,71.59,0.4789818700391072
235,,Richie James Jr.,KC,WR92,WR,10,143,374,234.93,37.27,,,7.617647058823529,7.736458758220525,68.85000000000001,0.47396374496203447
236,,Desmond Ridder,ATL,QB31,QB,11,148,327,243.87,41.59,,,9.93,6.179762670739603,227.77,0.41714538277549934
237,,Zach Ertz,ARI,TE28,TE,14,136,376,244.53,43.67,188.0,-7.0,11.16,4.843598295115362,104.44000000000001,0.5605111406039577
238,,Cleveland Browns,CLE,DST15,DST,5,190,354,233.62,22.38,,,,,,
