rank,pos_tiers,player_name,tm,pos_rank,pos,bye,best,worst,avg,std dev,adp,adp_vor_delta,py_avg_ppg,py_std_dev,custom_points,vor
74,5.0,A.J. Green,CIN,WR32,WR,9.0,29.0,198.0,82.4,21.2,79.0,11.0,,,170.76000000000002,0.6106344521552317
75,4.0,Matt Ryan,ATL,QB8,QB,10.0,15.0,192.0,80.3,19.2,78.0,-34.0,16.02000042533333,7.934250256154115,270.068578163,0.5517072397276712
76,5.0,Julian Edelman,NE,WR33,WR,6.0,32.0,195.0,88.2,23.2,88.0,15.0,12.796428575625,6.308509532335621,168.22,0.6054456353056739
77,3.0,Hunter Henry,LAC,TE7,TE,10.0,38.0,150.0,83.1,18.3,106.0,31.0,10.058333333333335,6.248411919452136,132.44,0.6048123545090743
78,5.0,Carson Wentz,PHI,QB9,QB,9.0,20.0,244.0,88.8,21.2,117.0,-5.5,15.793750360624998,5.510655069918569,264.08000578299993,0.5394735368654112
79,6.0,Will Fuller,HOU,WR34,WR,8.0,49.0,234.0,89.5,27.1,77.0,-22.0,9.954545454545455,13.025387797402704,149.82000000000002,0.5678573557655704
80,5.0,James White,NE,RB30,RB,6.0,34.0,200.0,79.7,22.2,84.0,24.0,10.786666669999999,7.2495188668168415,143.32999999999998,0.6226259304650363
81,5.0,Marvin Jones,DET,WR35,WR,5.0,56.0,162.0,89.8,17.4,97.0,11.5,12.53076923076923,9.815836236696343,156.15,0.5807885410638777
82,5.0,Antonio Gibson,WAS,RB31,RB,8.0,40.0,262.0,74.9,31.0,57.0,26.0,,,171.91,0.6810103342289582
83,5.0,Drew Brees,NO,QB10,QB,6.0,26.0,226.0,90.4,22.2,82.0,-41.0,19.792208179090906,11.076683393889692,263.305720323,0.5378917945657201
84,5.0,J.K. Dobbins,BAL,RB32,RB,8.0,35.0,264.0,83.3,29.2,63.0,-35.0,,,116.74000000000002,0.5683067808470281
85,3.0,Tyler Higbee,LAR,TE8,TE,9.0,43.0,163.0,84.7,22.5,102.0,25.0,8.393333333333334,6.922475472449626,130.06,0.5999503922642131
86,5.0,Zack Moss,BUF,RB33,RB,11.0,35.0,322.0,94.1,34.3,72.0,-24.0,,,117.72,0.5703087653007944
87,6.0,Jordan Howard,MIA,RB34,RB,11.0,47.0,173.0,82.5,18.5,80.0,-13.0,10.639999999999999,8.944669424361702,118.48000000000002,0.5718613246731032
88,4.0,Hayden Hurst,ATL,TE9,TE,10.0,42.0,232.0,92.6,25.3,87.0,1.5,3.8687499999999995,3.4379681499397288,120.68,0.5807885410638777
89,3.0,Tom Brady,TB,QB11,QB,13.0,19.0,158.0,93.1,19.0,91.0,-42.0,14.957143219375,6.7350257932535404,256.928577591,0.5248643041484617
90,5.0,Matthew Stafford,DET,QB12,QB,5.0,23.0,217.0,99.0,21.8,107.0,-55.0,19.62500044625,7.398580637583967,242.952863277,0.4963141380393715
91,6.0,Phillip Lindsay,DEN,RB35,RB,8.0,52.0,200.0,89.6,21.8,83.0,5.0,11.262500000000001,6.805867566543838,130.97,0.5973764122522277
92,6.0,Diontae Johnson,PIT,WR36,WR,8.0,49.0,234.0,104.2,25.1,96.0,7.0,7.975000000000001,5.936384983023479,153.42999999999998,0.5752320127840362
93,6.0,Tarik Cohen,CHI,RB36,RB,11.0,45.0,220.0,90.1,28.5,94.0,35.0,7.775,3.6204051338673873,143.5,0.6229732134825265
94,5.0,Brandin Cooks,HOU,WR37,WR,8.0,45.0,203.0,98.1,26.7,85.0,-19.0,6.892857142857144,4.899366408913627,146.6,0.5612794068460522
95,6.0,Jamison Crowder,NYJ,WR38,WR,11.0,58.0,253.0,105.5,28.0,118.0,32.5,9.91875,7.272342011576005,158.61,0.5858139306110871
96,6.0,Ronald Jones II,TB,RB37,RB,13.0,52.0,229.0,95.3,29.1,81.0,6.0,9.425,5.790739733977573,134.53,0.604648927206726
97,4.0,Jared Cook,NO,TE10,TE,6.0,48.0,205.0,108.9,29.5,134.0,47.0,10.42857142857143,6.264482122549019,125.81,0.5912683168269609
98,6.0,Matt Breida,MIA,RB38,RB,11.0,53.0,235.0,97.1,25.6,100.0,14.5,7.2153846153846155,7.0270721918693555,122.85,0.5807885410638777
99,6.0,Aaron Rodgers,GB,QB13,QB,5.0,26.0,270.0,104.9,26.7,92.0,-34.0,15.790178928749999,10.384775341084842,262.461434435,0.5361670525021381
100,5.0,Christian Kirk,ARI,WR39,WR,8.0,59.0,188.0,106.5,20.8,110.0,6.0,10.169230769230769,8.523534538302817,148.85000000000002,0.5658757997245975
101,5.0,Deebo Samuel,SF,WR40,WR,11.0,45.0,174.0,107.8,24.7,86.0,-25.0,10.573333333333332,6.543641042664098,142.10999999999999,0.5521070495017552
102,4.0,Austin Hooper,CLE,TE11,TE,9.0,63.0,193.0,115.0,23.5,131.0,35.0,11.707692307692309,6.038965355431555,117.87000000000002,0.5750481570688944
103,4.0,Rob Gronkowski,TB,TE12,TE,13.0,42.0,191.0,111.1,26.1,70.0,-23.0,,,116.94999999999999,0.5731687430918893
104,6.0,Tevin Coleman,SF,RB39,RB,11.0,58.0,227.0,106.6,28.8,103.0,2.0,8.921428571428573,9.178836743076104,116.42,0.567653071637635
105,6.0,Marlon Mack,IND,RB40,RB,7.0,42.0,184.0,104.9,27.0,75.0,-2.0,12.307142857142859,6.337855046733603,131.99,0.5994601103571684
106,4.0,Mike Gesicki,MIA,TE13,TE,11.0,47.0,221.0,115.5,25.7,133.0,39.0,6.90625,6.387954158675009,118.87,0.577090998348248
107,7.0,Sterling Shepard,NYG,WR41,WR,11.0,66.0,216.0,116.4,23.4,115.0,17.5,11.13,5.50717713533894,151.03000000000003,0.5703291937135881
108,6.0,Kerryon Johnson,DET,RB41,RB,5.0,50.0,239.0,110.2,28.8,93.0,-9.0,10.0,4.8083261120685235,115.79,0.5663660816316423
109,7.0,Latavius Murray,NO,RB42,RB,6.0,66.0,238.0,105.7,28.2,89.0,-20.0,8.762500000000001,9.438917663941492,109.92,0.5543746033218375
110,7.0,Cam Newton,NE,QB14,QB,6.0,47.0,312.0,111.0,28.9,113.0,-24.0,,,255.36429089700002,0.5216687147172152
111,6.0,Daniel Jones,NYG,QB15,QB,11.0,48.0,252.0,116.0,24.8,129.0,-22.0,15.414286046923074,11.609792482475717,249.31000557099998,0.5093007707362784
112,7.0,CeeDee Lamb,DAL,WR42,WR,10.0,72.0,265.0,121.2,29.9,95.0,-30.0,,,135.09000000000003,0.5377663037206939
113,7.0,John Brown,BUF,WR43,WR,11.0,79.0,232.0,117.0,24.0,148.0,26.0,12.30000000266667,6.422505073167101,140.46,0.548736361390822
114,,Jared Goff,LAR,QB16,QB,9.0,29.0,278.0,121.7,26.8,154.0,-22.0,13.53214327125,8.212983850294194,241.691434804,0.4937372398837754
115,5.0,T.J. Hockenson,DET,TE14,TE,5.0,55.0,284.0,121.9,27.2,139.0,20.0,5.391666666666668,6.061571703374589,105.93,0.5506566321934142
116,7.0,Darius Slayton,NYG,WR44,WR,11.0,59.0,204.0,122.7,25.5,124.0,2.0,10.428571428571429,9.456249750332281,137.12,0.5419132715177813
117,,Ben Roethlisberger,PIT,QB17,QB,8.0,43.0,190.0,116.5,20.6,135.0,-63.0,,,229.268577167,0.4683593134953804
118,7.0,Anthony Miller,CHI,WR45,WR,11.0,70.0,232.0,125.6,29.2,157.0,23.0,6.34375,6.805582879763741,135.14,0.5378684457846615
119,4.0,Noah Fant,DEN,TE15,TE,8.0,47.0,192.0,121.7,22.3,123.0,29.0,5.6875,5.85558138303391,117.65,0.5745987319874367
120,7.0,Ryquell Armstead,JAX,RB43,RB,7.0,66.0,199.0,138.4,36.1,136.0,-73.0,2.7624999999999997,5.093116269371174,61.260000000000005,0.4549699466684985
121,7.0,Emmanuel Sanders,NO,WR46,WR,6.0,68.0,202.0,126.8,25.1,104.0,-27.0,9.170588238235295,8.75583839618096,130.84,0.5290842282834418
122,6.0,Sony Michel,NE,RB44,RB,6.0,56.0,233.0,115.6,30.4,114.0,7.5,9.162500000000001,5.900607313376028,112.65,0.5599515600144724
123,,Jonnu Smith,TEN,TE16,TE,7.0,63.0,283.0,128.3,28.5,138.0,22.0,5.45,5.550735686975797,107.54,0.5539456066531734
124,,Dallas Goedert,PHI,TE17,TE,9.0,46.0,286.0,131.4,29.3,,,7.713333333333333,4.84530209387943,109.06,0.5570507253977905
125,7.0,Preston Williams,MIA,WR47,WR,11.0,66.0,196.0,129.2,26.3,121.0,12.0,9.350000000000001,5.335862495551077,145.13,0.5582764301654025
126,7.0,Chris Thompson,JAX,RB45,RB,7.0,60.0,244.0,144.9,43.8,116.0,22.0,6.6,3.501142670614838,119.51999999999998,0.5739858796036307
127,,Baker Mayfield,CLE,QB18,QB,9.0,60.0,197.0,127.9,23.3,158.0,-32.0,12.840178913125001,6.500694349657129,236.360005621,0.4828459762707933
128,8.0,Henry Ruggs III,LV,WR48,WR,6.0,74.0,286.0,135.9,37.4,105.0,-14.0,,,137.44,0.5425669807271746
129,,Ryan Tannehill,TEN,QB19,QB,7.0,57.0,199.0,131.5,22.4,,,17.73690508833333,9.017932073081901,246.72429098600003,0.5040185662454142
