rk,player_name,pos,age,date,lg,tm,home/away,opp,result,g#,week,day,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,receiving_y/tgt
698,Anthony Nelson,LB,23.2,2020-09-20,NFL,TAM,Home,CAR,W 31-17,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
699,Steven Nelson,DB,27.242,2020-09-20,NFL,PIT,Home,DEN,W 26-21,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
700,Yannick Ngakoue,DE,25.173,2020-09-20,NFL,MIN,Away,IND,L 11-28,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
701,Bilal Nichols,DT,24.006,2020-09-20,NFL,CHI,Home,NYG,W 17-13,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
702,Ben Niemann,LB,25.055,2020-09-20,NFL,KAN,Away,LAC,W 23-20,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
703,Derrick Nnadi,DT,24.134,2020-09-20,NFL,KAN,Away,LAC,W 23-20,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
704,Rakeem Nunez-Roches,DE,27.079,2020-09-20,NFL,TAM,Home,CAR,W 31-17,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
705,Uchenna Nwosu,DE,23.267,2020-09-20,NFL,LAC,Home,KAN,L 20-23,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
706,Dorian O'Daniel,LB,26.016,2020-09-20,NFL,KAN,Away,LAC,W 23-20,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
707,Pat O'Donnell,P,29.211,2020-09-20,NFL,CHI,Home,NYG,W 17-13,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
708,James O'Shaughnessy,TE,28.25,2020-09-20,NFL,JAX,Away,TEN,L 30-33,2,2,Sun,0.0,0.0,,0.0,4.0,4.0,40.0,10.0,0.0,10.0
709,Efe Obada,DE,28.16,2020-09-20,NFL,CAR,Away,TAM,L 17-31,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
710,Ifeadi Odenigbo,DE,26.165,2020-09-20,NFL,MIN,Away,IND,L 11-28,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
711,Emmanuel Ogbah,DE,26.319,2020-09-20,NFL,MIA,Home,BUF,L 28-31,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
712,Alec Ogletree,LB,28.361,2020-09-20,NFL,NYJ,Home,SFO,L 13-31,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
713,Larry Ogunjobi,DT,26.106,2020-09-17,NFL,CLE,Home,CIN,W 35-30,2,2,Thu,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
