rank,player_name,opp,best,worst,avg,std dev,proj. pts,pos,pos_rank,tm,start_sit_grade,pos_map,tiers
84,Sterling Shepard,vs. TB,69.0,128.0,83.42,10.39,10.8,FLEX,WR42,NYG,,WR,9
85,Marvin Jones Jr.,vs. IND,72.0,102.0,85.92,6.57,10.1,FLEX,WR43,DET,,WR,8
86,Curtis Samuel,vs. ATL,66.0,131.0,87.46,6.39,10.0,FLEX,WR44,CAR,,WR,9
87,Michael Gallup,at PHI,71.0,123.0,87.92,11.08,9.6,FLEX,WR45,DAL,,WR,9
88,Marquez Valdes-Scantling,vs. MIN,75.0,135.0,90.54,6.08,9.8,FLEX,WR46,GB,,WR,9
89,Noah Fant,vs. LAC,61.0,122.0,90.65,11.2,10.1,FLEX,TE10,DEN,,TE,9
90,Mecole Hardman,vs. NYJ,72.0,120.0,91.31,9.52,9.0,FLEX,WR47,KC,,WR,9
91,Kendrick Bourne,at SEA,68.0,144.0,92.69,11.8,9.9,FLEX,WR48,SF,,WR,10
92,Lamical Perine,at KC,64.0,107.0,96.23,7.15,9.0,FLEX,RB34,NYJ,,RB,9
93,Adrian Peterson,vs. IND,79.0,132.0,96.96,7.23,6.8,FLEX,RB35,DET,,RB,9
94,Nelson Agholor,at CLE,52.0,125.0,97.38,8.84,10.1,FLEX,WR49,LV,,WR,9
95,Preston Williams,vs. LAR,75.0,201.0,98.58,7.44,9.5,FLEX,WR50,MIA,,WR,11
96,Denzel Mims,at KC,75.0,141.0,99.27,8.81,9.9,FLEX,WR51,NYJ,,WR,10
97,Robert Tonyan,vs. MIN,83.0,129.0,102.0,8.21,10.0,FLEX,TE11,GB,,TE,12
98,Hayden Hurst,at CAR,60.0,114.0,102.31,4.34,9.5,FLEX,TE12,ATL,,TE,9
99,Demarcus Robinson,vs. NYJ,86.0,141.0,105.42,10.26,8.6,FLEX,WR52,KC,,WR,12
100,Zach Pascal,at DET,77.0,138.0,106.31,15.93,8.5,FLEX,WR53,IND,,WR,12
101,Wayne Gallman,vs. TB,54.0,152.0,107.85,16.51,7.1,FLEX,RB36,NYG,,RB,10
102,James White,at BUF,86.0,135.0,108.04,11.14,10.2,FLEX,RB37,NE,,RB,12
103,Greg Ward,vs. DAL,82.0,169.0,108.15,10.51,9.1,FLEX,WR54,PHI,,WR,11
104,Mike Gesicki,vs. LAR,83.0,125.0,108.23,5.98,9.2,FLEX,TE13,MIA,,TE,12
105,Jimmy Graham,vs. NO,76.0,143.0,108.65,10.88,9.3,FLEX,TE14,CHI,,TE,12
106,Evan Engram,vs. TB,81.0,141.0,111.42,4.94,9.1,FLEX,TE15,NYG,,TE,12
107,John Brown,vs. NE,68.0,148.0,105.68,24.49,8.9,FLEX,WR55,BUF,,WR,10
108,Hunter Renfrow,at CLE,81.0,135.0,114.42,9.93,8.3,FLEX,WR56,LV,,WR,12
109,Trey Burton,at DET,82.0,142.0,114.42,5.88,8.9,FLEX,TE16,IND,,TE,12
110,Darnell Mooney,vs. NO,96.0,132.0,114.77,10.41,9.2,FLEX,WR57,CHI,,WR,12
111,Harrison Bryant,vs. LV,91.0,138.0,115.04,6.94,8.8,FLEX,TE17,CLE,,TE,12
112,Eric Ebron,at BAL,93.0,147.0,115.46,6.85,8.5,FLEX,TE18,PIT,,TE,12
113,Golden Tate,vs. TB,89.0,139.0,116.19,10.23,8.3,FLEX,WR58,NYG,,WR,12
114,Richard Rodgers,vs. DAL,63.0,206.0,116.69,35.68,7.9,FLEX,TE19,PHI,,TE,11
115,Frank Gore,at KC,80.0,172.0,116.88,12.93,6.4,FLEX,RB38,NYJ,,RB,11
116,Alexander Mattison,at GB,101.0,144.0,118.58,11.76,6.2,FLEX,RB39,MIN,,RB,12
117,Damiere Byrd,at BUF,106.0,131.0,119.54,6.32,8.2,FLEX,WR59,NE,,WR,12
118,Braxton Berrios,at KC,86.0,145.0,120.23,12.67,8.1,FLEX,WR60,NYJ,,WR,12
119,Phillip Lindsay,vs. LAC,59.0,203.0,105.13,25.01,6.3,FLEX,RB40,DEN,,RB,11
120,Adam Humphries,at CIN,102.0,136.0,122.85,9.57,8.9,FLEX,WR61,TEN,,WR,12
121,Anthony Miller,vs. NO,106.0,136.0,123.19,6.25,7.9,FLEX,WR62,CHI,,WR,12
122,Rex Burkhead,at BUF,105.0,146.0,124.04,10.02,6.9,FLEX,RB41,NE,,RB,12
123,Russell Gage,at CAR,92.0,164.0,124.27,13.62,8.2,FLEX,WR63,ATL,,WR,13
124,Josh Reynolds,at MIA,103.0,163.0,125.96,10.26,7.6,FLEX,WR64,LAR,,WR,13
125,Brian Hill,at CAR,101.0,172.0,133.38,11.35,5.7,FLEX,RB42,ATL,,RB,13
126,Nyheim Hines,at DET,111.0,150.0,133.65,9.75,8.3,FLEX,RB43,IND,,RB,13
127,Marcus Johnson,at DET,91.0,161.0,126.28,13.14,7.6,FLEX,WR65,IND,,WR,13
128,Tony Pollard,at PHI,97.0,162.0,134.65,11.29,5.9,FLEX,RB44,DAL,,RB,13
129,DeeJay Dallas,vs. SF,42.0,175.0,135.62,26.47,5.7,FLEX,RB45,SEA,,RB,11
130,Tim Patrick,vs. LAC,81.0,205.0,114.48,30.42,7.6,FLEX,WR66,DEN,,WR,11
131,Danny Amendola,vs. IND,127.0,177.0,138.92,9.46,7.5,FLEX,WR67,DET,,WR,14
132,Dalton Schultz,at PHI,117.0,163.0,139.23,10.71,8.4,FLEX,TE20,DAL,,TE,13
133,Deonte Harris,at CHI,86.0,166.0,126.0,16.44,7.3,FLEX,WR68,NO,,WR,13
134,Corey Clement,vs. DAL,120.0,183.0,143.62,13.03,5.6,FLEX,RB46,PHI,,RB,14
135,Benny Snell Jr.,at BAL,107.0,165.0,144.15,13.1,5.3,FLEX,RB47,PIT,,RB,13
136,Jalen Guyton,at DEN,107.0,171.0,137.08,10.45,7.3,FLEX,WR69,LAC,,WR,13
137,Irv Smith Jr.,at GB,94.0,162.0,144.62,11.58,6.7,FLEX,TE21,MIN,,TE,13
138,Gerald Everett,at MIA,99.0,171.0,145.5,13.84,6.3,FLEX,TE22,LAR,,TE,13
139,Drew Sample,vs. TEN,126.0,172.0,145.69,8.97,6.8,FLEX,TE23,CIN,,TE,14
140,Tyler Johnson,at NYG,92.0,165.0,131.17,16.05,7.4,FLEX,WR70,TB,,WR,13
141,Greg Olsen,vs. SF,126.0,161.0,146.35,9.0,6.3,FLEX,TE24,SEA,,TE,14
142,James Washington,at BAL,92.0,194.0,134.0,18.92,7.1,FLEX,WR71,PIT,,WR,15
143,David Njoku,vs. LV,109.0,162.0,149.73,11.08,5.6,FLEX,TE25,CLE,,TE,13
144,Tyler Higbee,at MIA,121.0,188.0,150.38,14.13,5.8,FLEX,TE26,LAR,,TE,14
145,Jalen Reagor,vs. DAL,74.0,203.0,122.05,35.48,6.9,FLEX,WR72,PHI,,WR,11
146,Matt Breida,vs. LAR,120.0,179.0,147.04,11.79,5.6,FLEX,RB48,MIA,,RB,14
147,Gabriel Davis,vs. NE,99.0,201.0,146.42,24.07,6.6,FLEX,WR73,BUF,,WR,15
148,David Moore,vs. SF,127.0,164.0,141.39,11.26,6.5,FLEX,WR74,SEA,,WR,14
149,KJ Hamler,vs. LAC,123.0,179.0,145.13,12.53,6.5,FLEX,WR75,DEN,,WR,14
150,Jakobi Meyers,at BUF,99.0,200.0,137.32,25.37,6.4,FLEX,WR76,NE,,WR,15
